"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"25024",20,39,13,17,0.0714285714285714,0.512820512820513,4,8,5,7,3,5,5,6,0,0
"25025",9,7,5,4,0.8,0.777777777777778,3,1,3,3,1,0,3,3,0,1
"25026",7,5,3,2,0.25,0.714285714285714,2,2,1,1,1,1,1,1,0,1
"25027",14,12,6,5,0.571428571428571,0.857142857142857,2,2,5,5,1,1,4,4,1,0.6
"25028",7,10,3,4,0.75,0.7,1,1,3,3,0,0,2,3,0,0.666666666666667
"25029",5,7,3,4,0,0.714285714285714,1,1,3,5,0,1,3,4,0,0
"25030",12,16,7,11,0,0.75,3,3,2,4,2,2,1,4,0,0
"25031",7,6,2,2,1,0.857142857142857,2,1,3,2,0,0,2,2,0,1
"25032",6,8,3,3,1,0.75,2,1,3,2,1,1,2,2,1,1
"25033",7,10,3,4,0.4,0.7,2,1,4,4,0,0,3,3,0,0.5
"25034",30,15,14,8,0.157894736842105,0.5,6,4,6,5,1,1,6,4,1,0.25
"25035",8,34,3,16,0.117647058823529,0.235294117647059,1,7,4,11,0,4,3,10,0,0.181818181818182
"25036",10,10,4,4,0.6,1,1,2,3,3,0,1,2,2,0,1
"25037",18,11,7,6,0,0.611111111111111,5,2,3,4,2,1,3,3,0,0
"25038",20,24,10,14,0.142857142857143,0.833333333333333,3,2,7,11,1,2,6,10,0,0.230769230769231
"25039",8,7,4,3,0.4,0.875,1,1,3,3,0,0,2,2,0,1
"25040",7,6,5,3,0.142857142857143,0.857142857142857,1,2,2,2,1,1,2,2,1,0
"25041",5,6,3,3,0.2,0.833333333333333,1,1,1,2,0,0,1,2,0,0.5
"25042",17,12,8,6,0.75,0.705882352941177,1,1,6,3,1,1,5,3,1,0.6
"25043",9,10,5,4,0.285714285714286,0.9,2,1,5,4,1,0,4,3,0,0.4
"25044",17,13,10,9,0.461538461538462,0.764705882352941,3,3,6,3,1,2,5,3,0,0.333333333333333
"25045",8,20,6,11,0.214285714285714,0.4,1,3,5,7,0,2,4,7,0,0.1
"25046",6,10,5,5,0.25,0.6,1,2,2,3,1,1,2,2,0,0.333333333333333
"25047",18,16,11,7,0.384615384615385,0.888888888888889,2,5,7,3,2,3,6,3,0.25,0.285714285714286
"25048",6,7,3,2,0.666666666666667,0.857142857142857,3,2,1,1,1,1,1,1,1,0
"25049",11,10,4,3,0.166666666666667,0.909090909090909,2,4,3,1,1,2,2,1,0,0.5
"25050",7,10,6,6,0,0.7,2,2,3,3,2,1,2,3,0,0
"25051",5,7,2,5,0,0.714285714285714,1,1,1,5,0,1,1,4,0,0
"25052",7,9,3,4,0.75,0.777777777777778,2,3,3,3,1,1,2,2,1,1
"25053",22,13,13,6,0.1875,0.590909090909091,2,1,10,6,0,0,9,5,0,0.0769230769230769
"25054",16,19,7,9,0.333333333333333,0.842105263157895,1,2,8,8,0,1,7,7,0,0.555555555555556
"25055",7,5,4,3,0.166666666666667,0.714285714285714,2,1,3,1,1,1,2,1,1,0
"25056",5,6,3,2,0.666666666666667,0.833333333333333,3,1,2,2,2,1,1,1,0.5,1
"25057",16,15,7,7,0,0.9375,3,4,4,2,1,2,4,2,0,0
"25058",23,34,9,18,0.0384615384615385,0.676470588235294,5,7,5,9,3,5,5,9,0,0.0769230769230769
"25059",8,8,4,4,0.6,1,1,1,3,3,0,0,3,3,0,0.5
"25060",21,16,12,12,0.142857142857143,0.761904761904762,2,3,6,5,2,3,5,5,0.25,0
"25061",6,11,3,5,0,0.545454545454545,2,2,3,4,1,1,2,3,0,0
"25062",10,8,6,4,0.428571428571429,0.8,1,1,3,3,0,0,3,3,0,0.5
"25063",9,9,4,4,0.333333333333333,1,2,2,2,3,2,1,2,2,0,0.333333333333333
"25064",13,15,6,8,0.555555555555556,0.866666666666667,4,5,2,5,3,3,2,4,1,0.2
"25065",7,12,3,4,0.166666666666667,0.583333333333333,3,4,1,2,2,2,1,1,0,1
"25066",4,9,3,5,0.333333333333333,0.444444444444444,1,2,2,4,0,0,2,3,0,0.666666666666667
"25067",14,11,8,6,0.4,0.785714285714286,1,1,6,4,0,0,5,3,0,0.333333333333333
"25068",16,16,11,11,0.466666666666667,1,3,2,5,4,3,2,4,4,0.666666666666667,0.333333333333333
"25069",5,7,2,2,1,0.714285714285714,1,2,3,1,0,1,2,1,0,0.5
"25070",9,10,5,5,0.666666666666667,0.9,1,1,4,3,1,1,3,2,1,0.666666666666667
"25071",12,6,6,3,0.5,0.5,4,2,2,3,2,1,2,2,0.5,1
"25072",7,5,2,2,0.333333333333333,0.714285714285714,1,1,2,1,1,1,1,1,1,0
"25073",26,19,13,11,0.142857142857143,0.730769230769231,4,4,8,3,3,3,7,2,0,0.125
"25074",30,13,12,6,0.0588235294117647,0.433333333333333,10,2,3,2,6,1,3,2,0,0
"25075",5,4,3,3,0,0.8,1,1,2,3,0,0,2,3,0,0.25
"25076",18,10,9,4,0.3,0.555555555555556,3,2,6,2,0,0,5,2,0,0.166666666666667
"25077",16,17,5,5,1,0.941176470588235,3,3,3,3,1,1,2,2,1,1
"25078",5,6,2,2,1,0.833333333333333,2,1,1,3,1,0,1,2,0,0.5
"25079",19,15,7,6,0,0.789473684210526,3,2,5,4,1,0,4,4,0,0
"25080",5,6,2,2,1,0.833333333333333,1,3,3,2,0,0,2,2,0,1
"25081",15,11,6,5,0.571428571428571,0.733333333333333,3,3,3,1,1,1,2,1,1,0.5
"25082",22,22,8,8,0.777777777777778,1,5,5,4,4,3,3,4,4,1,0.6
"25083",10,15,6,9,0.363636363636364,0.666666666666667,2,2,4,6,1,1,3,5,1,0.333333333333333
"25084",9,14,5,7,0.2,0.642857142857143,1,2,1,4,0,1,1,3,0,0
"25085",11,13,5,10,0.153846153846154,0.846153846153846,2,2,3,6,0,1,3,6,0,0.125
"25086",6,8,4,5,0.5,0.75,2,2,1,1,1,1,1,1,1,0
"25087",8,8,4,4,0.6,1,2,2,2,2,1,1,2,2,1,1
"25088",5,4,2,2,0,0.8,1,1,1,1,0,0,1,1,0,0
"25089",9,18,4,11,0.153846153846154,0.5,2,2,1,3,1,2,1,3,0.5,0
"25090",7,6,3,2,0.666666666666667,0.857142857142857,2,1,3,3,1,0,2,2,0,1
"25091",6,7,3,3,0.5,0.857142857142857,1,1,2,2,1,1,2,2,1,0.333333333333333
"25092",19,19,10,12,0.1,1,1,2,6,7,0,1,6,7,0,0.0833333333333333
"25093",14,16,7,8,0.5,0.875,2,4,4,4,1,2,4,4,0.5,0.333333333333333
"25094",9,8,5,5,0.111111111111111,0.888888888888889,2,1,3,1,1,1,2,1,0,0
"25095",5,7,4,5,0.5,0.714285714285714,2,2,1,3,1,1,1,2,1,0.5
"25096",3,4,1,1,1,0.75,1,1,2,2,0,0,1,1,0,1
"25097",14,7,5,4,0.285714285714286,0.5,4,2,2,3,2,0,2,3,0,0.25
"25098",12,12,5,5,0.666666666666667,1,4,3,1,3,3,2,1,2,0.666666666666667,0.5
"25099",9,8,5,3,0.333333333333333,0.888888888888889,2,2,2,3,1,1,2,2,1,0.333333333333333
"25100",13,9,7,5,0.333333333333333,0.692307692307692,4,3,3,2,2,1,3,2,0.5,0.25
"25101",9,8,4,5,0.285714285714286,0.888888888888889,1,1,4,4,0,0,4,3,0,0.4
"25102",11,10,3,5,0.333333333333333,0.909090909090909,3,2,1,1,2,2,1,1,1,0
"25103",8,9,4,4,0.6,0.888888888888889,2,2,3,4,1,1,2,3,1,0.666666666666667
"25104",9,10,4,4,0.6,0.9,1,1,4,4,0,0,3,3,0,0.5
"25105",9,7,5,4,0.285714285714286,0.777777777777778,1,1,3,2,1,1,2,1,0,0.5
"25106",8,22,5,11,0,0.363636363636364,1,6,6,8,0,4,5,7,0,0
"25107",7,6,3,2,0.666666666666667,0.857142857142857,2,2,3,1,1,1,2,1,1,0.5
"25108",9,8,3,2,0.666666666666667,0.888888888888889,2,2,3,2,1,1,2,1,1,0.5
"25109",7,8,3,3,1,0.875,2,2,2,2,1,1,1,1,1,1
"25110",11,8,7,5,0.5,0.727272727272727,2,1,3,3,2,1,3,2,0.5,0.25
"25111",10,7,5,4,0.5,0.7,1,1,4,2,1,1,4,1,1,0.25
"25112",10,7,5,3,0.333333333333333,0.7,1,1,5,3,0,0,5,3,0,0.333333333333333
"25113",7,6,4,3,0.4,0.857142857142857,2,2,2,2,1,1,1,1,0,1
"25114",23,22,12,14,0.130434782608696,0.956521739130435,5,4,4,8,2,2,4,7,0,0.222222222222222
"25115",22,21,10,9,0.461538461538462,0.954545454545455,3,3,7,6,1,1,7,6,1,0.444444444444444
"25116",5,10,3,4,0.75,0.5,1,3,3,2,1,2,2,2,0.5,1
"25117",8,7,4,3,0.4,0.875,1,2,2,2,1,1,1,1,1,0
"25118",4,4,2,2,1,1,1,1,2,2,0,0,1,1,0,1
"25119",10,7,4,3,0.75,0.7,2,1,3,2,0,0,3,2,0,0.666666666666667
"25120",6,10,2,6,0.142857142857143,0.6,1,3,2,4,0,2,2,4,0,0.2
"25121",21,27,13,15,0.0769230769230769,0.777777777777778,4,4,8,5,3,3,7,5,0.2,0
"25122",24,27,13,13,0.181818181818182,0.888888888888889,5,6,3,4,4,6,3,4,0,0
"25123",16,7,9,3,0,0.4375,3,1,7,3,1,0,6,3,0,0
"25124",18,18,9,8,0.888888888888889,1,5,5,7,6,3,3,6,5,1,0.833333333333333
"25125",6,10,5,6,0.833333333333333,0.6,1,3,2,2,1,2,2,2,0.5,1
"25126",11,12,5,6,0,0.916666666666667,1,2,4,5,0,1,4,4,0,0
"25127",25,25,15,12,0.08,1,5,4,7,7,3,2,7,7,0,0
"25128",14,19,8,8,0.230769230769231,0.736842105263158,3,5,3,4,2,3,3,3,0,0
"25129",5,10,4,5,0.285714285714286,0.5,1,2,1,5,1,1,1,4,0,0.25
"25130",21,25,9,8,0,0.84,4,5,6,4,2,2,6,4,0,0
"25131",11,10,3,3,0.2,0.909090909090909,2,1,3,4,0,0,3,3,0,0.2
"25132",8,8,3,3,1,1,2,2,2,2,1,1,2,2,1,1
"25133",17,10,8,3,0,0.588235294117647,2,2,6,3,1,0,5,3,0,0
"25134",21,18,10,11,0.166666666666667,0.857142857142857,4,4,8,6,3,3,7,6,0.2,0.181818181818182
"25135",7,6,3,2,0.25,0.857142857142857,3,2,2,2,2,1,1,1,0,1
"25136",13,15,6,7,0.3,0.866666666666667,2,2,6,5,1,1,5,5,0,0.428571428571429
"25137",10,10,8,9,0.214285714285714,1,1,1,6,4,1,1,5,4,0,0.285714285714286
"25138",14,25,8,16,0.333333333333333,0.56,2,3,3,5,1,1,3,5,0,0.333333333333333
"25139",27,27,12,12,0.2,1,6,4,9,6,3,3,8,6,0.2,0.272727272727273
"25140",4,7,3,5,0.333333333333333,0.571428571428571,1,2,2,2,0,1,1,2,0,0
"25141",11,9,6,6,0.5,0.818181818181818,1,1,5,4,0,1,5,4,0,0.5
"25142",8,7,4,3,0.166666666666667,0.875,1,2,2,2,1,1,2,2,0,0.333333333333333
"25143",7,7,4,3,0.75,1,1,2,1,1,0,0,1,1,0,0
"25144",8,8,3,3,0.5,1,2,2,2,2,0,0,2,2,0,1
"25145",21,22,6,10,0.230769230769231,0.954545454545455,4,5,2,4,3,3,2,4,0.5,0
"25146",12,10,7,5,0.5,0.833333333333333,1,1,4,4,1,1,4,3,1,0.75
"25147",7,12,3,5,0.142857142857143,0.583333333333333,1,4,3,2,0,2,3,2,0,0
"25148",10,15,5,6,0.571428571428571,0.666666666666667,2,5,3,4,1,2,3,4,0.5,0.75
"25149",5,8,2,3,0.666666666666667,0.625,1,2,1,1,1,1,1,1,1,1
"25150",10,12,3,4,0.4,0.833333333333333,3,4,3,3,0,1,3,3,0,0.5
"25151",24,9,10,5,0.153846153846154,0.375,4,1,3,4,1,0,3,4,0,0.166666666666667
"25152",5,5,3,2,0.666666666666667,1,1,1,1,1,1,0,1,1,0,1
"25153",6,26,3,13,0.142857142857143,0.230769230769231,2,7,2,6,1,5,2,5,0.2,0.166666666666667
"25154",8,8,5,4,0.285714285714286,1,1,2,1,3,1,1,1,2,0,0.5
"25155",9,9,5,5,0.428571428571429,1,1,1,4,4,0,0,4,4,0,0.333333333333333
"25156",6,7,4,3,0.4,0.857142857142857,2,1,2,2,1,0,2,2,0,1
"25157",15,26,6,14,0,0.576923076923077,1,3,5,9,0,1,4,9,0,0
"25158",11,9,4,3,0.75,0.818181818181818,3,3,2,1,2,2,2,1,1,0.5
"25159",15,17,9,9,0.8,0.882352941176471,3,4,7,7,2,3,7,7,0.666666666666667,0.75
"25160",10,11,5,7,0.333333333333333,0.909090909090909,4,3,3,3,2,2,3,3,0,1
"25161",10,10,6,6,0.5,1,2,1,4,3,1,0,4,3,0,0.4
"25162",7,8,4,4,0.333333333333333,0.875,1,2,2,3,1,1,2,3,0,0.666666666666667
"25163",32,30,18,17,0.296296296296296,0.9375,4,2,9,9,2,2,9,9,0.333333333333333,0.2
"25164",15,17,7,8,0.5,0.882352941176471,4,4,3,3,2,2,3,3,0.333333333333333,1
"25165",3,7,1,3,0.333333333333333,0.428571428571429,1,3,2,1,0,1,1,1,0,1
"25166",9,9,5,4,0.5,1,4,4,1,1,3,3,1,1,0.5,0
"25167",8,8,3,4,0.75,1,2,1,1,1,1,1,1,1,1,1
"25168",11,9,5,3,0.333333333333333,0.818181818181818,1,2,5,3,1,1,4,2,0,0.2
"25169",15,26,8,11,0,0.576923076923077,2,5,3,7,1,3,3,7,0,0
"25170",14,9,8,5,0.625,0.642857142857143,1,1,7,3,0,0,6,2,0,0.333333333333333
"25171",8,7,5,4,0.8,0.875,1,1,5,5,0,0,4,4,0,1
"25172",11,5,5,3,0.333333333333333,0.454545454545455,3,1,4,1,2,1,3,1,0.5,0.333333333333333
"25173",9,9,6,6,0.714285714285714,1,2,2,3,3,2,2,2,2,1,1
"25174",7,7,4,4,1,1,1,1,4,3,0,0,3,2,0,0.666666666666667
"25175",9,7,3,3,0.5,0.777777777777778,4,2,2,2,1,1,2,1,1,0.5
"25176",27,32,11,14,0.0416666666666667,0.84375,3,5,6,7,2,1,6,7,0,0.0833333333333333
"25177",4,5,3,3,0,0.8,1,1,1,2,0,0,1,1,0,0
"25178",14,27,8,15,0.352941176470588,0.518518518518518,4,5,4,10,3,3,3,9,0.2,0.333333333333333
"25179",10,9,5,5,0.666666666666667,0.9,1,2,3,2,0,1,3,2,0,0.666666666666667
"25180",11,7,5,4,0.5,0.636363636363636,1,1,5,4,0,0,4,3,0,0.4
"25181",10,9,6,5,0.1,0.9,2,1,3,3,1,0,3,3,0,0
"25182",7,5,3,2,0.666666666666667,0.714285714285714,1,2,2,2,1,1,1,1,1,1
"25183",8,12,4,7,0.375,0.666666666666667,1,1,3,6,0,0,3,6,0,0.285714285714286
"25184",10,8,3,5,0.6,0.8,3,2,2,2,1,2,1,1,0.5,1
"25185",15,8,7,3,0.428571428571429,0.533333333333333,2,2,5,2,1,1,5,2,1,0.4
"25186",8,10,3,4,0.75,0.8,2,2,3,4,1,1,2,3,1,0.666666666666667
"25187",9,27,6,13,0.117647058823529,0.333333333333333,2,4,5,7,1,2,4,7,0,0.222222222222222
"25188",8,10,4,4,0.333333333333333,0.8,1,2,2,3,1,1,2,3,1,0.25
"25189",6,9,4,5,0.5,0.666666666666667,1,1,3,5,0,0,3,4,0,0.75
"25190",14,16,9,9,0,0.875,1,2,8,7,0,1,7,6,0,0
"25191",18,23,9,11,0.818181818181818,0.782608695652174,6,8,4,5,3,4,4,5,0.75,0.8
"25192",9,8,6,5,0.833333333333333,0.888888888888889,1,1,7,6,0,0,6,5,0,0.833333333333333
"25193",6,4,2,2,1,0.666666666666667,1,1,1,1,0,0,1,1,0,1
"25194",12,12,6,6,0,1,1,1,5,6,0,1,4,5,0,0
"25195",13,17,6,5,0.222222222222222,0.764705882352941,4,3,5,5,2,1,4,4,0,0.333333333333333
"25196",8,8,6,5,0.571428571428571,1,1,2,2,3,1,1,2,2,1,1
"25197",6,7,2,3,0.25,0.857142857142857,1,1,2,3,0,0,2,3,0,0.25
"25198",10,8,4,4,1,0.8,2,1,5,4,0,1,4,3,0,0.75
"25199",13,6,7,4,0.571428571428571,0.461538461538462,1,1,5,4,1,1,5,4,0,0.8
"25200",5,7,3,2,0.666666666666667,0.714285714285714,3,3,1,1,1,1,1,1,1,0
"25201",13,5,6,3,0,0.384615384615385,4,2,2,1,2,1,2,1,0,0
"25202",7,27,3,15,0.0588235294117647,0.259259259259259,1,1,2,9,0,0,1,9,0,0
"25203",13,9,7,5,0.2,0.692307692307692,2,1,7,5,1,1,6,4,0,0.25
"25204",9,10,5,6,0.571428571428571,0.9,3,3,3,4,2,2,2,3,1,0.25
"25205",9,7,2,2,1,0.777777777777778,5,1,1,3,1,0,1,2,0,0.5
"25206",7,5,3,3,0.5,0.714285714285714,2,1,3,2,1,1,2,1,1,0.5
"25207",27,39,9,16,0.0869565217391304,0.692307692307692,7,10,2,5,4,5,2,5,0.285714285714286,0
"25208",14,8,8,6,0.0769230769230769,0.571428571428571,3,1,3,2,2,0,3,2,0,0.25
"25209",22,22,9,9,0.8,1,4,4,7,7,2,2,7,7,1,0.75
"25210",13,22,8,13,0.105263157894737,0.590909090909091,2,3,6,7,1,2,5,7,0,0.0909090909090909
"25211",13,9,8,6,0.555555555555556,0.692307692307692,2,2,6,5,1,1,6,5,0,0.833333333333333
"25212",8,9,4,5,0.285714285714286,0.888888888888889,1,1,4,3,1,1,3,2,0,0.666666666666667
"25213",8,8,3,3,0.2,1,1,1,4,3,0,0,3,3,0,0.2
"25214",7,17,4,8,0.2,0.411764705882353,2,3,3,5,1,2,2,4,0,0.5
"25215",5,7,3,3,0.2,0.714285714285714,1,1,2,3,0,0,2,2,0,0.333333333333333
"25216",9,8,5,4,0.8,0.888888888888889,1,1,4,3,0,0,4,3,0,0.75
"25217",10,8,4,4,0.6,0.8,1,1,5,5,0,0,4,4,0,0.6
"25218",12,10,5,4,0.285714285714286,0.833333333333333,3,3,2,1,2,2,1,1,0,1
"25219",19,20,8,13,0.3125,0.95,4,4,6,8,1,4,6,7,0.25,0.444444444444444
"25220",18,16,9,8,0.416666666666667,0.888888888888889,5,4,6,6,3,2,5,5,0.25,0.666666666666667
"25221",17,11,10,6,0.230769230769231,0.647058823529412,2,2,5,4,1,1,5,4,0,0.5
"25222",5,8,2,4,0.5,0.625,1,2,2,2,0,1,1,2,0,0.5
"25223",10,6,6,2,0.142857142857143,0.6,1,2,1,1,1,1,1,1,0,0
"25224",7,7,3,3,0.5,1,1,1,2,2,0,0,2,2,0,1
"25225",6,6,2,4,0.5,1,2,1,2,1,1,1,1,1,1,1
"25226",4,5,2,2,0,0.8,1,1,1,3,0,0,1,2,0,0
"25227",10,9,6,3,0.125,0.9,1,1,5,3,0,0,4,2,0,0.2
"25228",7,7,3,4,0.4,1,4,2,1,1,3,2,1,1,0.666666666666667,0
"25229",1,9,0,5,0,0.111111111111111,1,2,1,4,1,1,1,4,0,0
"25230",25,24,11,10,0.615384615384615,0.96,6,6,5,5,4,4,4,4,1,0.333333333333333
"25231",7,18,5,7,0.2,0.388888888888889,1,3,4,4,1,2,3,3,0.5,0.2
"25232",16,21,9,13,0.1,0.761904761904762,2,3,5,6,1,3,5,6,0,0
"25233",7,7,4,3,0.75,1,1,1,4,2,0,0,3,2,0,0.666666666666667
"25234",21,21,8,13,0.235294117647059,1,4,5,7,8,2,4,6,7,0.2,0.3
"25235",12,29,6,16,0.1,0.413793103448276,2,6,5,11,1,3,4,10,0,0.166666666666667
"25236",29,29,12,12,0.846153846153846,1,4,4,9,9,2,2,9,9,1,0.8
"25237",6,6,3,2,0.666666666666667,1,1,2,1,1,1,1,1,1,1,1
"25238",6,5,3,3,0.5,0.833333333333333,1,1,3,3,0,0,2,2,0,0.333333333333333
"25239",8,8,5,6,0.571428571428571,1,3,2,3,2,2,2,2,2,1,1
"25240",6,7,3,3,1,0.857142857142857,1,1,2,3,0,0,2,2,0,1
"25241",22,11,9,4,0.181818181818182,0.5,3,4,8,2,2,2,7,2,0.333333333333333,0.125
"25242",10,10,6,5,0.375,1,1,2,5,5,1,1,4,4,1,0.333333333333333
"25243",13,9,5,4,0.285714285714286,0.692307692307692,5,5,3,2,2,2,3,2,1,0
"25244",3,5,1,2,0,0.6,2,1,1,2,1,0,1,1,0,0
"25245",8,10,3,5,0.333333333333333,0.8,1,1,2,3,1,1,2,3,0,0.25
"25246",23,9,13,4,0,0.391304347826087,3,1,9,5,2,0,8,4,0,0
"25247",10,10,6,6,0.714285714285714,1,2,2,4,4,1,1,4,4,1,1
"25248",4,4,2,2,0.333333333333333,1,1,1,2,3,0,0,1,2,0,0.5
"25249",5,5,3,3,0.5,1,2,2,2,2,1,1,1,1,1,1
"25250",8,8,5,5,0.666666666666667,1,1,1,3,2,0,0,3,2,0,0.666666666666667
"25251",6,5,4,3,0.75,0.833333333333333,3,2,2,3,2,1,2,2,0.5,1
"25252",9,11,4,5,0.5,0.818181818181818,1,1,3,3,0,0,2,2,0,1
"25253",22,8,10,6,0,0.363636363636364,3,1,7,3,2,1,6,3,0,0
"25254",8,15,6,8,0.272727272727273,0.533333333333333,1,1,5,5,1,0,4,4,0,0.333333333333333
"25255",22,11,11,6,0,0.5,5,2,7,1,3,2,7,1,0,0
"25256",9,10,5,5,0.25,0.9,1,2,2,4,1,1,2,3,0,0.666666666666667
"25257",10,8,5,5,0,0.8,1,2,3,3,1,1,3,3,0,0
"25258",10,7,5,4,0,0.7,2,2,2,3,1,1,2,2,0,0
"25259",9,14,3,7,0.111111111111111,0.642857142857143,2,5,2,2,0,3,2,2,0,0.333333333333333
"25260",11,12,6,6,0.2,0.916666666666667,1,2,5,2,0,1,5,2,0,0.166666666666667
"25261",14,12,7,8,0.0714285714285714,0.857142857142857,3,1,4,5,2,1,4,5,0,0
"25262",11,11,5,4,0.5,1,3,3,1,1,1,1,1,1,0,1
"25263",15,22,9,14,0.0952380952380952,0.681818181818182,2,3,7,9,1,2,7,9,0,0.142857142857143
"25264",8,8,3,3,0.5,1,1,1,2,3,0,0,2,3,0,0.666666666666667
"25265",13,15,6,7,0.3,0.866666666666667,4,3,3,4,3,2,2,3,0.25,0.25
"25266",24,23,9,13,0.466666666666667,0.958333333333333,4,4,5,7,1,2,5,7,0.5,0.5
"25267",5,6,3,3,0.5,0.833333333333333,1,1,2,2,1,0,1,1,0,0
"25268",61,32,37,21,0.567567567567568,0.524590163934426,9,4,22,13,5,2,21,13,0.4,0.619047619047619
"25269",25,6,9,4,0,0.24,5,1,4,2,2,0,3,1,0,0
"25270",17,26,7,11,0.636363636363636,0.653846153846154,4,6,4,5,3,4,3,4,0.75,0.75
"25271",5,11,3,4,0.166666666666667,0.454545454545455,1,1,3,4,1,0,2,3,0,0.25
"25272",9,8,3,3,0.2,0.888888888888889,2,2,3,2,1,1,2,2,0,0.333333333333333
"25273",11,9,6,4,0.111111111111111,0.818181818181818,2,1,1,2,2,0,1,2,0,0
"25274",15,12,7,6,0,0.8,2,2,3,4,1,1,2,4,0,0
"25275",5,12,4,4,0,0.416666666666667,1,2,3,3,1,1,2,2,0,0
"25276",9,12,4,6,0.25,0.75,2,3,2,4,1,1,2,4,1,0
"25277",9,22,4,9,0.181818181818182,0.409090909090909,1,6,1,2,1,4,1,2,0,0
"25278",9,7,4,2,0.2,0.777777777777778,2,1,4,1,1,0,3,1,0,0.333333333333333
"25279",9,9,6,4,0,1,1,5,4,1,1,2,3,1,0,0
"25280",8,7,4,4,0.6,0.875,2,1,2,2,2,1,1,1,0.5,1
"25281",13,15,8,9,0.888888888888889,0.866666666666667,2,2,3,4,1,1,3,4,1,0.75
"25282",30,28,13,10,0.210526315789474,0.933333333333333,8,6,2,4,6,4,2,3,0.25,0
"25283",8,7,4,3,0.75,0.875,1,1,4,3,0,0,4,3,0,0.75
"25284",17,11,9,6,0.153846153846154,0.647058823529412,2,4,6,3,1,3,5,3,0,0.142857142857143
"25285",9,4,3,1,0.333333333333333,0.444444444444444,3,3,1,1,1,1,1,1,1,0
"25286",5,9,3,5,0.6,0.555555555555556,2,2,2,3,1,1,2,3,1,0.666666666666667
"25287",9,11,5,6,0.1,0.818181818181818,2,1,3,3,1,1,2,3,1,0
"25288",10,14,5,6,0.571428571428571,0.714285714285714,1,2,4,5,1,1,3,4,1,0.75
"25289",14,14,8,8,0.777777777777778,1,4,5,1,1,2,3,1,1,0.666666666666667,1
"25290",17,15,9,7,0.142857142857143,0.882352941176471,2,3,5,3,1,2,4,3,0,0.166666666666667
"25291",40,13,18,7,0.25,0.325,8,1,10,6,4,1,9,5,0.25,0.4
"25292",11,14,5,10,0.153846153846154,0.785714285714286,2,2,2,7,1,2,2,6,0,0.333333333333333
"25293",12,24,5,11,0.0666666666666667,0.5,1,4,2,4,1,2,2,4,0,0
"25294",9,9,4,4,0.6,1,1,1,2,3,1,1,1,2,1,0.5
"25295",7,10,4,6,0.666666666666667,0.7,2,2,1,2,2,2,1,2,0.333333333333333,0.5
"25296",10,13,5,6,0.222222222222222,0.769230769230769,2,2,4,5,1,1,4,4,0,0.333333333333333
"25297",8,11,2,3,0.25,0.727272727272727,5,5,1,1,2,3,1,1,0.25,1
"25298",12,19,6,11,0,0.631578947368421,2,2,4,8,1,2,4,8,0,0
"25299",10,12,5,7,0.714285714285714,0.833333333333333,2,2,4,5,0,1,3,4,0,0.75
"25300",10,10,4,4,0.6,1,1,2,3,3,1,1,2,2,1,0.333333333333333
